위도,경도,Sector,게이트명
37.45029,126.454715,6,T5
37.450285,126.456271,6,T6
37.450494,126.456234,6,T7
37.450619,126.456017,6,T8
37.450762,126.455338,6,T9
37.450839,126.454627,6,T10
37.450864,126.453927,6,T11
37.451405,126.452203,5,T12
37.452031,126.451969,5,T14
37.452678,126.451838,5,T15
37.4533,126.451599,5,T16
37.453556,126.451468,5,T17
37.453645,126.451304,5,T18
37.453651,126.45106,5,T19
37.453547,126.450864,5,T20
37.453387,126.450786,5,T21
37.453115,126.450848,5,T22
37.452495,126.451076,5,T23
37.451895,126.451409,5,T24
37.450656,126.451935,5,T25
37.450355,126.451173,4,T26
37.450079,126.450554,4,T27
37.449744,126.449977,4,T28
37.448897,126.44884,3,T29
37.449336,126.448199,3,T30
37.449715,126.447547,3,T31
37.450162,126.446935,3,T32
37.450541,126.446284,3,T33
37.450683,126.445983,3,T34
37.450664,126.445771,3,T35
37.450558,126.445584,3,T36
37.450375,126.445517,3,T37
37.450217,126.445554,3,T38
37.450028,126.445817,3,T39
37.449642,126.446471,3,T40
37.449329,126.447193,3,T41
37.447996,126.448216,2,T42
37.447475,126.447929,2,T43
37.446932,126.44773,2,T45
37.446367,126.447607,2,T46
37.445818,126.447543,2,T47
37.445582,126.447631,2,T48
37.445507,126.447873,2,T49
37.445577,126.448119,2,T50
